#Lower and upper bound delineate the 90% max posterior region
#node	date	numeric date	lower bound	upper bound
NODE_0000001	2022-01-02	2022.004921	2021.913248	2022.010224
NODE_0000412	2022-02-28	2022.161478	2022.092902	2022.167210
NODE_0000003	2022-03-16	2022.205402	2022.171607	2022.217461
hCoV-19/USA/DC-CDC-LC0575365/2022	2022-04-08	2022.267123	2022.267123	2022.267123
NODE_0000414	2022-03-23	2022.223288	2022.207372	2022.223288
hCoV-19/SouthAfrica/NICD-N38614/2022	2022-03-23	2022.223288	2022.223288	2022.223288
NODE_0000415	2022-04-05	2022.258904	2022.236591	2022.258904
hCoV-19/USA/NH-CDC-ASC210723730/2022	2022-04-05	2022.258904	2022.258904	2022.258904
hCoV-19/USA/NH-CDC-LC0575371/2022	2022-04-07	2022.264384	2022.264384	2022.264384
NODE_0000006	2022-04-04	2022.255794	2022.222331	2022.256164
hCoV-19/SouthAfrica/NICD-N39454/2022	2022-04-14	2022.283562	2022.283562	2022.283562
hCoV-19/SouthAfrica/NICD-N38875/2022	2022-04-04	2022.256164	2022.256164	2022.256164
NODE_0000418	2022-03-03	2022.169636	2022.146699	2022.169822
NODE_0000007	2022-03-16	2022.204675	2022.167707	2022.226510
NODE_0000010	2022-03-17	2022.207851	2022.183063	2022.235941
hCoV-19/SouthAfrica/NCV1194/2022	2022-04-21	2022.302740	2022.302740	2022.302740
NODE_0000423	2022-03-29	2022.238463	2022.208848	2022.246784
hCoV-19/SouthAfrica/NCV1080/2022	2022-04-01	2022.247945	2022.247945	2022.247945
NODE_0000013	2022-04-06	2022.260381	2022.239268	2022.267123
hCoV-19/SouthAfrica/NCV1181/2022	2022-04-22	2022.305479	2022.305479	2022.305479
hCoV-19/SouthAfrica/NICD-N39182/2022	2022-04-08	2022.267123	2022.267123	2022.267123
NODE_0000011	2022-03-31	2022.246280	2022.207023	2022.265011
NODE_0000009	2022-04-05	2022.258739	2022.228587	2022.269215
hCoV-19/Scotland/QEUH-3DD0D39/2022	2022-04-26	2022.316438	2022.316438	2022.316438
hCoV-19/SouthAfrica/NICD-N39245/2022	2022-04-11	2022.275342	2022.275342	2022.275342
NODE_0000008	2022-04-06	2022.261227	2022.241553	2022.275342
hCoV-19/SouthAfrica/NCV1145/2022	2022-04-11	2022.275342	2022.275342	2022.275342
hCoV-19/SouthAfrica/NICD-N39416/2022	2022-04-12	2022.278082	2022.278082	2022.278082
NODE_0000426	2022-03-03	2022.167697	2022.166129	2022.179822
hCoV-19/SouthAfrica/NICD-N37741/2022	2022-03-16	2022.204110	2022.204110	2022.204110
hCoV-19/SouthAfrica/NCV1157/2022	2022-04-12	2022.278082	2022.278082	2022.278082
NODE_0000430	2022-04-05	2022.258904	2022.234676	2022.258904
hCoV-19/SouthAfrica/NICD-N39484/2022	2022-04-05	2022.258904	2022.258904	2022.258904
hCoV-19/SouthAfrica/NICD-N39485/2022	2022-04-16	2022.289041	2022.289041	2022.289041
