#Skyline assuming 50 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
2022.003	3.771e+00	1.478e+00	9.619e+00
2022.020	6.162e+00	3.171e+00	1.198e+01
2022.037	1.005e+01	5.016e+00	2.014e+01
2022.054	1.528e+01	7.898e+00	2.956e+01
2022.072	1.656e+01	8.101e+00	3.385e+01
2022.089	1.569e+01	7.739e+00	3.183e+01
2022.106	1.506e+01	7.424e+00	3.054e+01
2022.123	1.452e+01	7.157e+00	2.944e+01
2022.140	1.377e+01	6.779e+00	2.799e+01
2022.157	1.191e+01	7.109e+00	1.996e+01
2022.174	5.587e+01	4.278e+01	7.296e+01
2022.191	2.057e+02	1.585e+02	2.669e+02
2022.208	2.486e+02	1.908e+02	3.238e+02
2022.225	4.431e+02	3.417e+02	5.745e+02
2022.242	5.090e+02	3.918e+02	6.613e+02
2022.259	3.154e+02	2.329e+02	4.271e+02
2022.276	1.292e+03	9.088e+02	1.837e+03
2022.293	6.826e+02	3.857e+02	1.208e+03
2022.310	2.589e+02	1.347e+02	4.975e+02
2022.327	6.578e+01	2.407e+01	1.798e+02
