locus_tag	ftype	length_bp	gene	EC_number	COG	product
OIOADCLO_00001	gene	195				
OIOADCLO_00001	CDS	195				hypothetical protein
OIOADCLO_00002	gene	525				
OIOADCLO_00002	CDS	525				hypothetical protein
OIOADCLO_00003	gene	267				
OIOADCLO_00003	CDS	267				hypothetical protein
OIOADCLO_00004	gene	435				
OIOADCLO_00004	CDS	435				ArpU family transcriptional regulator
OIOADCLO_00005	gene	381				
OIOADCLO_00005	CDS	381				hypothetical protein
OIOADCLO_00006	gene	1275				
OIOADCLO_00006	CDS	1275				PBSX family phage terminase large subunit
OIOADCLO_00007	gene	1326				
OIOADCLO_00007	CDS	1326				phage portal protein
OIOADCLO_00008	gene	909				
OIOADCLO_00008	CDS	909				minor capsid protein
OIOADCLO_00009	gene	270				
OIOADCLO_00009	CDS	270				hypothetical protein
OIOADCLO_00010	gene	135				
OIOADCLO_00010	CDS	135				hypothetical protein
OIOADCLO_00011	gene	570				
OIOADCLO_00011	CDS	570				hypothetical protein
OIOADCLO_00012	gene	891				
OIOADCLO_00012	CDS	891				hypothetical protein
OIOADCLO_00013	gene	294				
OIOADCLO_00013	CDS	294				hypothetical protein
OIOADCLO_00014	gene	345				
OIOADCLO_00014	CDS	345				hypothetical protein
OIOADCLO_00015	gene	312				
OIOADCLO_00015	CDS	312				hypothetical protein
OIOADCLO_00016	gene	384				
OIOADCLO_00016	CDS	384				hypothetical protein
OIOADCLO_00017	gene	411				
OIOADCLO_00017	CDS	411				hypothetical protein
OIOADCLO_00018	gene	507				
OIOADCLO_00018	CDS	507				hypothetical protein
OIOADCLO_00019	gene	318				
OIOADCLO_00019	CDS	318				hypothetical protein
OIOADCLO_00020	gene	459				
OIOADCLO_00020	CDS	459				hypothetical protein
OIOADCLO_00021	gene	1806				
OIOADCLO_00021	CDS	1806				hypothetical protein
OIOADCLO_00022	gene	1485				
OIOADCLO_00022	CDS	1485				hypothetical protein
OIOADCLO_00023	gene	3441				
OIOADCLO_00023	CDS	3441				hypothetical protein
OIOADCLO_00024	gene	1863				
OIOADCLO_00024	CDS	1863				hypothetical protein
OIOADCLO_00025	gene	348				
OIOADCLO_00025	CDS	348				hypothetical protein
OIOADCLO_00026	gene	123				
OIOADCLO_00026	CDS	123				hypothetical protein
OIOADCLO_00027	gene	324				
OIOADCLO_00027	CDS	324				hypothetical protein
OIOADCLO_00028	gene	333				
OIOADCLO_00028	CDS	333				hypothetical protein
OIOADCLO_00029	gene	765				
OIOADCLO_00029	CDS	765				glucosaminidase domain-containing protein
OIOADCLO_00030	gene	603				
OIOADCLO_00030	CDS	603				hypothetical protein
OIOADCLO_00031	gene	774				
OIOADCLO_00031	CDS	774				hypothetical protein
OIOADCLO_00032	gene	222				
OIOADCLO_00032	CDS	222				hypothetical protein
OIOADCLO_00033	gene	660				
OIOADCLO_00033	CDS	660				hypothetical protein
OIOADCLO_00034	gene	756	speA			
OIOADCLO_00034	CDS	756	speA			Exotoxin type A
OIOADCLO_00035	gene	189				
OIOADCLO_00035	CDS	189				hypothetical protein
OIOADCLO_00036	gene	345	ssrA			
OIOADCLO_00036	tmRNA	345	ssrA			transfer-messenger RNA, SsrA
OIOADCLO_00037	gene	615				
OIOADCLO_00037	CDS	615				TVP38/TMEM64 family protein
OIOADCLO_00038	gene	786				
OIOADCLO_00038	CDS	786				hypothetical protein
OIOADCLO_00039	gene	699				
OIOADCLO_00039	CDS	699				ABC transporter ATP-binding protein
OIOADCLO_00040	gene	372				
OIOADCLO_00040	CDS	372				GntR family transcriptional regulator
OIOADCLO_00041	gene	3111				
OIOADCLO_00041	CDS	3111		2.7.7.7		DNA polymerase III subunit alpha
OIOADCLO_00042	gene	1014	pfkA			
OIOADCLO_00042	CDS	1014	pfkA	2.7.1.11		6-phosphofructokinase
OIOADCLO_00043	gene	1503	pyk			
OIOADCLO_00043	CDS	1503	pyk	2.7.1.40		pyruvate kinase
OIOADCLO_00044	gene	558	lepB_1			
OIOADCLO_00044	CDS	558	lepB_1	3.4.21.89		signal peptidase I
OIOADCLO_00045	gene	1815	glmS			
OIOADCLO_00045	CDS	1815	glmS	2.6.1.16		glutamine--fructose-6-phosphate transaminase (isomerizing)
OIOADCLO_00046	gene	336				
